SerialNumber,Name,SMILES,SAscore
1,a-c1+a-b1,O=S(=O)([O-])c1ccc(S(=O)(=O)C(F)(F)C(F)(F)F)cc1,2.9278197953914376
2,a-c1+a-b2,Cc1cccc(-c2ccc(S(=O)(=O)[O-])cc2)c1C,2.2146942328992925
3,a-c1+a-b3,CCCCCCCCCCCCc1ccc(S(=O)(=O)[O-])cc1,2.19009109912224
4,a-c1+a-b4,CCCCC(CC)Cc1ccc(S(=O)(=O)[O-])cc1,2.8829568014638625
5,a-c1+a-b5,O=S(=O)([O-])c1ccc(S(=O)(=O)C(F)(F)F)cc1,2.6374411793360846
6,a-c1+a-b6,O=S(=O)([O-])c1ccc(S(=O)(=O)C(F)(F)C(F)(F)C(F)(F)C(F)(F)F)cc1,3.0006780471559686
7,a-c1+a-b7,CCc1ccc(S(=O)(=O)[O-])cc1,2.301603099869377
8,a-c1+a-b8,CCCCc1ccc(S(=O)(=O)[O-])cc1,2.2225919217245274
9,a-c2+a-b1,O=S(=O)([O-])OS(=O)(=O)C(F)(F)C(F)(F)F,3.617926085836884
10,a-c2+a-b2,Cc1cccc(OS(=O)(=O)[O-])c1C,2.5854863563436687
11,a-c2+a-b3,CCCCCCCCCCCCOS(=O)(=O)[O-],2.447373292151523
12,a-c2+a-b4,CCCCC(CC)COS(=O)(=O)[O-],3.4336333186657413
13,a-c2+a-b5,O=S(=O)([O-])OS(=O)(=O)C(F)(F)F,3.428680022946299
14,a-c2+a-b6,O=S(=O)([O-])OS(=O)(=O)C(F)(F)C(F)(F)C(F)(F)C(F)(F)F,3.4097447193332684
15,a-c2+a-b7,CCOS(=O)(=O)[O-],3.6169756227231735
16,a-c2+a-b8,CCCCOS(=O)(=O)[O-],3.0773189771252234
17,a-c3+a-b1+a-b2,Cc1cccc(OP(=O)([O-])OS(=O)(=O)C(F)(F)C(F)(F)F)c1C,3.746706239118657
18,a-c3+a-b1+a-b3,CCCCCCCCCCCCOP(=O)([O-])OS(=O)(=O)C(F)(F)C(F)(F)F,3.5949902461918333
19,a-c3+a-b1+a-b4,CCCCC(CC)COP(=O)([O-])OS(=O)(=O)C(F)(F)C(F)(F)F,4.210122518235541
20,a-c3+a-b1+a-b5,O=P([O-])(OS(=O)(=O)C(F)(F)F)OS(=O)(=O)C(F)(F)C(F)(F)F,4.27973885414162
21,a-c3+a-b1+a-b6,O=P([O-])(OS(=O)(=O)C(F)(F)C(F)(F)F)OS(=O)(=O)C(F)(F)C(F)(F)C(F)(F)C(F)(F)F,4.183744005431528
22,a-c3+a-b1+a-b7,CCOP(=O)([O-])OS(=O)(=O)C(F)(F)C(F)(F)F,4.177788789720516
23,a-c3+a-b1+a-b8,CCCCOP(=O)([O-])OS(=O)(=O)C(F)(F)C(F)(F)F,3.996700295949605
24,a-c3+a-b2+a-b3,CCCCCCCCCCCCOP(=O)([O-])Oc1cccc(C)c1C,3.0411463950080897
25,a-c3+a-b2+a-b4,CCCCC(CC)COP(=O)([O-])Oc1cccc(C)c1C,3.5544924832423908
26,a-c3+a-b2+a-b5,Cc1cccc(OP(=O)([O-])OS(=O)(=O)C(F)(F)F)c1C,3.56107135499858
27,a-c3+a-b2+a-b6,Cc1cccc(OP(=O)([O-])OS(=O)(=O)C(F)(F)C(F)(F)C(F)(F)C(F)(F)F)c1C,3.77154683859443
28,a-c3+a-b2+a-b7,CCOP(=O)([O-])Oc1cccc(C)c1C,3.281793882030968
29,a-c3+a-b2+a-b8,CCCCOP(=O)([O-])Oc1cccc(C)c1C,3.2039194855358346
30,a-c3+a-b3+a-b4,CCCCCCCCCCCCOP(=O)([O-])OCC(CC)CCCC,3.466917369085186
31,a-c3+a-b3+a-b5,CCCCCCCCCCCCOP(=O)([O-])OS(=O)(=O)C(F)(F)F,3.396618807601685
32,a-c3+a-b3+a-b6,CCCCCCCCCCCCOP(=O)([O-])OS(=O)(=O)C(F)(F)C(F)(F)C(F)(F)C(F)(F)F,3.6938592294396493
33,a-c3+a-b3+a-b7,CCCCCCCCCCCCOP(=O)([O-])OCC,3.0876103598720324
34,a-c3+a-b3+a-b8,CCCCCCCCCCCCOP(=O)([O-])OCCCC,3.072290107257656
35,a-c3+a-b4+a-b5,CCCCC(CC)COP(=O)([O-])OS(=O)(=O)C(F)(F)F,4.054628482921829
