SerialNumber,Name,SMILES,SAscore
1,c-c1+c-b1,C[n+]1cnn(CCO)c1,3.6161123149178644
2,c-c1+c-b2,CCCCCCn1c[n+](C)cn1,2.9717202944395122
3,c-c1+c-b3,CCCn1c[n+](C)cn1,3.4692876995332487
4,c-c1+c-b4,CCCCCCCCn1c[n+](C)cn1,2.8071140472306
5,c-c1+c-b5,CCn1c[n+](C)cn1,3.7272230156296047
6,c-c1+c-b6,CCCCn1c[n+](C)cn1,3.2465567293128768
7,c-c2+c-b1,C[N+](C)(C)CCO,3.0037783376553016
8,c-c2+c-b2,CCCCCC[N+](C)(C)C,2.274636230580839
9,c-c2+c-b3,CCC[N+](C)(C)C,2.8685747177457994
10,c-c2+c-b4,CCCCCCCC[N+](C)(C)C,2.175897330638607
11,c-c2+c-b5,CC[N+](C)(C)C,2.921773151836458
12,c-c2+c-b6,CCCC[N+](C)(C)C,2.51116756108415
13,c-c3+c-b1,C[n+]1ccn(CCO)c1,3.246386776456327
14,c-c3+c-b2,CCCCCCn1cc[n+](C)c1,2.635226176792452
15,c-c3+c-b3,CCCn1cc[n+](C)c1,3.05319416107171
16,c-c3+c-b4,CCCCCCCCn1cc[n+](C)c1,2.5210940472305996
17,c-c3+c-b5,CCn1cc[n+](C)c1,3.284221617028205
18,c-c3+c-b6,CCCCn1cc[n+](C)c1,2.837956729312875
19,c-c4+c-b1,C[N+]1(CCO)CCCC1,3.258056314917864
20,c-c4+c-b2,CCCCCC[N+]1(C)CCCC1,2.7050230093716383
21,c-c4+c-b3,CCC[N+]1(C)CCCC1,3.2418120072255574
22,c-c4+c-b4,CCCCCCCC[N+]1(C)CCCC1,2.5804213549229083
23,c-c4+c-b5,CC[N+]1(C)CCCC1,3.2655733652799546
24,c-c4+c-b6,CCCC[N+]1(C)CCCC1,2.9241984875546336
