Name,SMILES,Cation_SMILES,Anion_SMILES,Reduction Potential (V),Oxidation Potential (V),ECW (V)
"N-Cyclohexyl-3,4-dihydroisoquinolinium tetrafluoroborate",C1=[N+](C2CCCCC2)CCc2ccccc21.F[B-](F)(F)F,C1=[N+](C2CCCCC2)CCc2ccccc21,F[B-](F)(F)F,0.3006281600000502,3.808310239999682,3.5076820799996318
pyrrolidinium acetate,C1CC[NH2+]C1.CC(=O)[O-],C1CC[NH2+]C1,CC(=O)[O-],-1.060125280000366,-0.5619219200001138,0.4982033600002522
pyrrolidinium octanoate,C1CC[NH2+]C1.CCCCCCCC(=O)[O-],C1CC[NH2+]C1,CCCCCCCC(=O)[O-],-1.060125280000366,-0.499916799999883,0.560208480000483
pyrrolidinium dibutylphosphate,C1CC[NH2+]C1.CCCCOP(=O)([O-])OCCCC,C1CC[NH2+]C1,CCCCOP(=O)([O-])OCCCC,-1.060125280000366,0.7983827200006628,1.8585080000010288
pyrrolidinium Mesylate,C1CC[NH2+]C1.CS(=O)(=O)[O-],C1CC[NH2+]C1,CS(=O)(=O)[O-],-1.060125280000366,0.3353761600004503,1.3955014400008163
Pyrrolidinium heptafluorobutyrate,C1CC[NH2+]C1.O=C([O-])C(F)(F)C(F)(F)C(F)(F)F,C1CC[NH2+]C1,O=C([O-])C(F)(F)C(F)(F)C(F)(F)F,-1.060125280000366,0.9252516799991639,1.98537695999953
pyrrolidinium trifluoroacetate,C1CC[NH2+]C1.O=C([O-])C(F)(F)F,C1CC[NH2+]C1,O=C([O-])C(F)(F)F,-1.060125280000366,0.8400558399996587,1.9001811200000247
pyrrolidinium formate,C1CC[NH2+]C1.O=C[O-],C1CC[NH2+]C1,O=C[O-],-1.060125280000366,-0.4839857600002149,0.5761395200001511
pyrrolidinium hydrogen sulfate,C1CC[NH2+]C1.O=S(=O)([O-])O,C1CC[NH2+]C1,O=S(=O)([O-])O,-1.060125280000366,0.8855396800004742,1.9456649600008402
pyrrolidinium nitrate,C1CC[NH2+]C1.O=[N+]([O-])[O-],C1CC[NH2+]C1,O=[N+]([O-])[O-],-1.060125280000366,0.1507779199998911,1.210903200000257
piperidinium hydrogen phosphonate,C1CC[NH2+]CC1.O=[PH]([O-])O,C1CC[NH2+]CC1,O=[PH]([O-])O,-1.178347360000444,0.57538351999934,1.753730879999784
1-(3-butenyl)-3-methyl-imidazolium azide,C=CCCn1cc[n+](C)c1.[N-]=[N+]=[N-],C=CCCn1cc[n+](C)c1,[N-]=[N+]=[N-],-1.202666879993777,-1.687906719999856,-0.4852398400060791
trimethyl-allylammonium bis((trifluoromethyl)sulfonyl)imide,C=CC[N+](C)(C)C.O=S(=O)([N-]S(=O)(=O)C(F)(F)F)C(F)(F)F,C=CC[N+](C)(C)C,O=S(=O)([N-]S(=O)(=O)C(F)(F)F)C(F)(F)F,-1.741803519999067,2.363283040000678,4.105086559999744
"N,N-dimethyl-N-allyl-N-(ethoxycarbonylmethyl)ammonium bis((trifluoromethyl)sulfonyl)imide",C=CC[N+](C)(C)CC(=O)OCC.O=S(=O)([N-]S(=O)(=O)C(F)(F)F)C(F)(F)F,C=CC[N+](C)(C)CC(=O)OCC,O=S(=O)([N-]S(=O)(=O)C(F)(F)F)C(F)(F)F,-1.900988800000087,2.363283040000678,4.264271840000765
"N-ethyl-N,N-dimethylprop-2-en-1-aminium dicyanamide",C=CC[N+](C)(C)CC.N#C[N-]C#N,C=CC[N+](C)(C)CC,N#C[N-]C#N,-1.892850560000844,-0.117386880000268,1.775463680000576
"N-ethyl-N,N-dimethylprop-2-en-1-aminium bis((trifluoromethyl)sulfonyl)amide",C=CC[N+](C)(C)CC.O=S(=O)([N-]S(=O)(=O)C(F)(F)F)C(F)(F)F,C=CC[N+](C)(C)CC,O=S(=O)([N-]S(=O)(=O)C(F)(F)F)C(F)(F)F,-1.892850560000844,2.363283040000678,4.256133600001522
"N-ethyl-N,N-dimethylprop-2-en-1-aminium trifluoromethanesulfonate",C=CC[N+](C)(C)CC.O=S(=O)([O-])C(F)(F)F,C=CC[N+](C)(C)CC,O=S(=O)([O-])C(F)(F)F,-1.892850560000844,2.288967200001534,4.181817760002378
"N,N-diethyl-N-allyl-N-(methoxycarbonylmethyl)ammonium bis((trifluoromethyl)sulfonyl)imide",C=CC[N+](CC)(CC)CC(=O)OC.O=S(=O)([N-]S(=O)(=O)C(F)(F)F)C(F)(F)F,C=CC[N+](CC)(CC)CC(=O)OC,O=S(=O)([N-]S(=O)(=O)C(F)(F)F)C(F)(F)F,-2.054859199998137,2.363283040000678,4.418142239998815
1-allyl-1-methylpyrrolidinium bis(trifluoromethanesulfonyl)imide,C=CC[N+]1(C)CCCC1.O=S(=O)([N-]S(=O)(=O)C(F)(F)F)C(F)(F)F,C=CC[N+]1(C)CCCC1,O=S(=O)([N-]S(=O)(=O)C(F)(F)F)C(F)(F)F,-1.975761599999933,2.363283040000678,4.339044640000611
"N,N-dimethylprop-2-en-1-aminium trifluoromethanesulfonate",C=CC[NH+](C)C.O=S(=O)([O-])C(F)(F)F,C=CC[NH+](C)C,O=S(=O)([O-])C(F)(F)F,0.1781220799991932,2.288967200001534,2.110845120002341
N-allyl-N-methylprop-2-en-1-aminium trifluoromethanesulfonate,C=CC[NH+](C)CC=C.O=S(=O)([O-])C(F)(F)F,C=CC[NH+](C)CC=C,O=S(=O)([O-])C(F)(F)F,-1.509189120000374,2.288967200001534,3.798156320001908
"N,N-diethylprop-2-en-1-aminium trifluoromethanesulfonate",C=CC[NH+](CC)CC.O=S(=O)([O-])C(F)(F)F,C=CC[NH+](CC)CC,O=S(=O)([O-])C(F)(F)F,-1.98807776000007,2.288967200001534,4.277044960001604
1-allyl-3-methylpyridinium chloride,C=CC[n+]1cccc(C)c1.[Cl-],C=CC[n+]1cccc(C)c1,[Cl-],0.1648729599995562,-0.7622934400004309,-0.9271663999999871
1-methyl-3-allylimidazolium tetrafluoroborate,C=CC[n+]1ccn(C)c1.F[B-](F)(F)F,C=CC[n+]1ccn(C)c1,F[B-](F)(F)F,-1.300510720000002,3.808310239999682,5.108820959999684
1-methyl-3-allylimidazolium chloride,C=CC[n+]1ccn(C)c1.[Cl-],C=CC[n+]1ccn(C)c1,[Cl-],-1.300510720000002,-0.7622934400004309,0.538217279999571
1-allyl-3-methylimidazolium chloride,C=CCn1cc[n+](C)c1.[Cl-],C=CCn1cc[n+](C)c1,[Cl-],-1.300488959999748,-0.7622934400004309,0.5381955199993171
1-allyl-3-methyl-imidazolium azide,C=CCn1cc[n+](C)c1.[N-]=[N+]=[N-],C=CCn1cc[n+](C)c1,[N-]=[N+]=[N-],-1.300488959999748,-1.687906719999856,-0.3874177600001081
1-allyl-3-dodecylimidazolium dicyanamide,C=CCn1cc[n+](CCCCCCCCCCCC)c1.N#C[N-]C#N,C=CCn1cc[n+](CCCCCCCCCCCC)c1,N#C[N-]C#N,-1.202275200001568,-0.117386880000268,1.0848883200013
1-allyl-3-tetradecylimidazolium dicyanamide,C=CCn1cc[n+](CCCCCCCCCCCCCC)c1.N#C[N-]C#N,C=CCn1cc[n+](CCCCCCCCCCCCCC)c1,N#C[N-]C#N,-1.377100479998663,-0.117386880000268,1.259713599998395
"1-amino-3-(2-propenyl)-1,2,3-triazolium nitrate",C=CCn1cc[n+](N)n1.O=[N+]([O-])[O-],C=CCn1cc[n+](N)n1,O=[N+]([O-])[O-],-2.05672784000084,0.1507779199998911,2.207505760000731
tri-n-butyl(4-vinylbenzyl)ammonium bis(trifluoromethanesulfonyl)amide,C=Cc1ccc(C[N+](CCCC)(CCCC)CCCC)cc1.O=S(=O)([N-]S(=O)(=O)C(F)(F)F)C(F)(F)F,C=Cc1ccc(C[N+](CCCC)(CCCC)CCCC)cc1,O=S(=O)([N-]S(=O)(=O)C(F)(F)F)C(F)(F)F,-1.674516159998567,2.363283040000678,4.037799199999245
4-methyl-4-(4'-vinylbenzyl)morpholinium bis(trifluoromethanesulfonyl)amide,C=Cc1ccc(C[N+]2(C)CCOCC2)cc1.O=S(=O)([N-]S(=O)(=O)C(F)(F)F)C(F)(F)F,C=Cc1ccc(C[N+]2(C)CCOCC2)cc1,O=S(=O)([N-]S(=O)(=O)C(F)(F)F)C(F)(F)F,-1.341947199998359,2.363283040000678,3.705230239999037
