Ionic Liquid,T0_1s,lnA,Ea(kJ/mol),Cations,Anions,SMILES,conductivity(S/m)
"(((oxybis(ethane-2,1-diyl))bis(oxy))bis(ethane-2,1-diyl))bis(diethylsulfonium) bis(trifluoromethylsulfonyl)imide",139.7115566,5.997390821,10.61644972,"(((oxybis(ethane-2,1-diyl))bis(oxy))bis(ethane-2,1-diyl))bis(diethylsulfonium)",bis(trifluoromethylsulfonyl)imide,C(COCCOCC[S+](CC)CC)OCC[S+](CC)CC|C(F)(F)(F)S(=O)(=O)[N-]S(=O)(=O)C(F)(F)F,0.13
"(((oxybis(ethane-2,1-diyl))bis(oxy))bis(ethane-2,1-diyl))bis(diethylsulfonium) dicyanamide",260.1709147,1.739038527,1.155790329,"(((oxybis(ethane-2,1-diyl))bis(oxy))bis(ethane-2,1-diyl))bis(diethylsulfonium)",dicyanamide,C(COCCOCC[S+](CC)CC)OCC[S+](CC)CC|C(#N)[N-]C#N,0.143
"((ethane-1,2-diylbis(oxy))bis(ethane-2,1-diyl))bis(diethylsulfonium) bis(trifluoromethylsulfonyl)imide",266.1803451,0.300511256,0.72706267,"((ethane-1,2-diylbis(oxy))bis(ethane-2,1-diyl))bis(diethylsulfonium)",bis(trifluoromethylsulfonyl)imide,C(C[S+](CC)CC)OCCOCC[S+](CC)CC|C(F)(F)(F)S(=O)(=O)[N-]S(=O)(=O)C(F)(F)F,0.091
"((ethane-1,2-diylbis(oxy))bis(ethane-2,1-diyl))bis(diethylsulfonium) dicyanamide",14.4477459,13.48594997,38.35510379,"((ethane-1,2-diylbis(oxy))bis(ethane-2,1-diyl))bis(diethylsulfonium)",dicyanamide,C(C[S+](CC)CC)OCCOCC[S+](CC)CC|C(#N)[N-]C#N,0.067
"(3,6,9,12-tetraoxatetradecane-1,14-diyl)bis(diethylsulfonium) bis(trifluoromethylsulfonyl)imide",112.7665501,6.629844936,12.42822615,"(3,6,9,12-tetraoxatetradecane-1,14-diyl)bis(diethylsulfonium)",bis(trifluoromethylsulfonyl)imide,C(C[S+](CC)CC)OCCOCCOCCOCC[S+](CC)CC|C(F)(F)(F)S(=O)(=O)[N-]S(=O)(=O)C(F)(F)F,0.238
"(3,6,9,12-tetraoxatetradecane-1,14-diyl)bis(diethylsulfonium) dicyanamide",158.9109487,5.520212691,7.655800987,"(3,6,9,12-tetraoxatetradecane-1,14-diyl)bis(diethylsulfonium)",dicyanamide,C(C[S+](CC)CC)OCCOCCOCCOCC[S+](CC)CC|C(#N)[N-]C#N,0.339
(3-aminopropyl)tributylphosphonium L-alaninate,219.5807424,0.628692595,3.147804791,(3-aminopropyl)tributylphosphonium,L-alaninate,CCCC[P+](CCCC)(CCCC)CCCN|C[C@@H](C(=O)[O-])N,0.01405
(3-aminopropyl)tributylphosphonium L-leucinate,186.7243588,2.147420238,6.4591163,(3-aminopropyl)tributylphosphonium,L-leucinate,CCCC[P+](CCCC)(CCCC)CCCN|CC(C)C[C@@H](C(=O)[O-])N,0.008
(3-aminopropyl)tributylphosphonium L-valinate,179.5769324,2.562595606,7.072881485,(3-aminopropyl)tributylphosphonium,L-valinate,CCCC[P+](CCCC)(CCCC)CCCN|CC(C)[C@@H](C(=O)[O-])N,0.00815
"(oxybis(ethane-2,1-diyl))bis(diethyl sulfonium) dicyanamide",214.1251505,3.987266722,3.961660056,"(oxybis(ethane-2,1-diyl))bis(diethyl sulfonium)",dicyanamide,C(C)[S+](CCOCC[S+](CC)CC)CC|C(#N)[N-]C#N,0.187
"(oxybis(ethane-2,1-diyl))bis(diethyl sulfonium) bis((trifluoromethyl)sulfonyl) amide",233.1332308,1.81475852,1.696846254,"(oxybis(ethane-2,1-diyl))bis(diethyl sulfonium)",bis((trifluoromethyl)sulfonyl) amide,C(C)[S+](CCOCC[S+](CC)CC)CC|C(F)(F)(F)S(=O)(=O)[N-]S(=O)(=O)C(F)(F)F,0.25
"1,1'-(((oxybis(ethane-2,1-diyl))bis(oxy))bis(ethane-2,1-diyl))bis(1-methylpyrrolidin-1-ium) dicyanamide",51.23879972,9.276782293,21.89779528,"1,1'-(((oxybis(ethane-2,1-diyl))bis(oxy))bis(ethane-2,1-diyl))bis(1-methylpyrrolidin-1-ium)",dicyanamide,C[N+]1(CCCC1)CCOCCOCCOCC[N+]2(CCCC2)C|C(#N)[N-]C#N,0.252
"1,1'-((ethane-1,2-diylbis(oxy))bis(ethane-2,1-diyl))bis(1-methylpyrrolidin-1-ium) bis(trifluoromethylsulfonyl)imide",218.5883781,2.080103282,2.706950003,"1,1'-((ethane-1,2-diylbis(oxy))bis(ethane-2,1-diyl))bis(1-methylpyrrolidin-1-ium)",bis(trifluoromethylsulfonyl)imide,C[N+]1(CCCC1)CCOCCOCC[N+]2(CCCC2)C|C(F)(F)(F)S(=O)(=O)[N-]S(=O)(=O)C(F)(F)F,0.134
"1,1'-((ethane-1,2-diylbis(oxy))bis(ethane-2,1-diyl))bis(1-methylpyrrolidin-1-ium) dicyanamide",69.79460969,9.152468768,20.22805475,"1,1'-((ethane-1,2-diylbis(oxy))bis(ethane-2,1-diyl))bis(1-methylpyrrolidin-1-ium)",dicyanamide,C[N+]1(CCCC1)CCOCCOCC[N+]2(CCCC2)C|C(#N)[N-]C#N,0.219
"1,1'-(3,6,9,12-tetraoxatetradecane-1,14-diyl)bis(1-methylpyrrolidin-1-ium) dicyanamide",26.7003557,11.3141352,29.88732079,"1,1'-(3,6,9,12-tetraoxatetradecane-1,14-diyl)bis(1-methylpyrrolidin-1-ium)",dicyanamide,C(COCCOCCOCC[N+]1(CCCC1)C)OCC[N+]2(CCCC2)C|C(#N)[N-]C#N,0.145
"1,1'-(oxybis(ethane-2,1-diyl))bis(1-methylpyrrolidin-1-ium) bis(trifluoromethylsulfonyl)imide",146.9776212,5.838376091,10.00198344,"1,1'-(oxybis(ethane-2,1-diyl))bis(1-methylpyrrolidin-1-ium)",bis(trifluoromethylsulfonyl)imide,C[N+]1(CCCC1)CCOCC[N+]2(CCCC2)C|C(F)(F)(F)S(=O)(=O)[N-]S(=O)(=O)C(F)(F)F,0.121
"1,1'-(oxybis(ethane-2,1-diyl))bis(1-methylpyrrolidin-1-ium) dicyanamide",246.3239833,3.39796403,2.848476826,"1,1'-(oxybis(ethane-2,1-diyl))bis(1-methylpyrrolidin-1-ium)",dicyanamide,C[N+]1(CCCC1)CCOCC[N+]2(CCCC2)C|C(#N)[N-]C#N,0.042
"1,1,3,3-tetramethyl-4-butylguanidinium bromotrichloroferrate(III)",267.1606035,-1.807424093,0.123063656,"1,1,3,3-tetramethyl-4-butylguanidinium",bromotrichloroferrate(III),CCCCNC(=[N+](C)C)N(C)C|[Cl-].[Cl-].[Cl-].[Fe+3],0.1037
"1,1,3,3-tetramethyl-4-ethylguanidinium bromotrichloroferrate(III)",258.7625366,-1.662419424,0.067790954,"1,1,3,3-tetramethyl-4-ethylguanidinium",bromotrichloroferrate(III),CCNC(=[N+](C)C)N(C)C|[Cl-].[Cl-].[Cl-].[Fe+3],0.155
"1,1,3,3-tetramethyl-4-hexylguanidinium bromotrichloroferrate(III)",258.8992958,-1.737225137,0.287792747,"1,1,3,3-tetramethyl-4-hexylguanidinium",bromotrichloroferrate(III),C(N(C)C)(N(C)C)=[N+](CCCCCC)|[Cl-].[Cl-].[Cl-].[Fe+3],0.0737
"1,1,3,3-tetramethyl-4-octylguanidinium bromotrichloroferrate(III)",254.2968646,-1.718841284,0.402043439,"1,1,3,3-tetramethyl-4-octylguanidinium",bromotrichloroferrate(III),C(N(C)C)(N(C)C)=[N+](CCCCCCCC)|[Cl-].[Cl-].[Cl-].[Fe+3],0.0601
"1,1-(((oxybis(ethane-2,1-diyl))bis(oxy))bis(ethane-2,1-diyl))bis(1-methylpyrrolidin-1-ium) bis(trifluoromethylsulfonyl)imide",127.8783777,5.242542259,10.69931474,"1,1-(((oxybis(ethane-2,1-diyl))bis(oxy))bis(ethane-2,1-diyl))bis(1-methylpyrrolidin-1-ium)",bis(trifluoromethylsulfonyl)imide,C[N+]1(CCCC1)CCOCCOCCOCC[N+]2(CCCC2)C|C(F)(F)(F)S(=O)(=O)[N-]S(=O)(=O)C(F)(F)F,0.099
"1,1-(3,6,9,12-tetraoxatetradecane-1,14-diyl)bis(1-methylpyrrolidin-1-ium) bis(trifluoromethylsulfonyl)imide",172.3448,3.523658475,6.204222428,"1,1-(3,6,9,12-tetraoxatetradecane-1,14-diyl)bis(1-methylpyrrolidin-1-ium)",bis(trifluoromethylsulfonyl)imide,C(COCCOCCOCC[N+]1(CCCC1)C)OCC[N+]2(CCCC2)C|C(F)(F)(F)S(=O)(=O)[N-]S(=O)(=O)C(F)(F)F,0.094
"1,2-dimethyl-3-propylimidazolium bis(trifluoromethylsulfonyl)imide",244.0512282,1.616692058,1.318798699,"1,2-dimethyl-3-propylimidazolium",bis(trifluoromethylsulfonyl)imide,CCCN1C=C[N+](=C1C)C|C(F)(F)(F)S(=O)(=O)[N-]S(=O)(=O)C(F)(F)F,0.265
"1,2-dimethyl-3-propylimidazolium bis[(trifluoromethyl)sulfonyl]imide",236.8719741,1.959310278,1.677781086,"1,2-dimethyl-3-propylimidazolium",bis[(trifluoromethyl)sulfonyl]imide,CCCN1C=C[N+](=C1C)C|C(F)(F)(F)S(=O)(=O)[N-]S(=O)(=O)C(F)(F)F,0.265
"1,2-dimethyl-3-propylimidazolium thiocyanate",188.1375397,4.920533539,5.212924782,"1,2-dimethyl-3-propylimidazolium",thiocyanate,CCCN1C=C[N+](=C1C)C|C(#N)[S-],0.459
"1,3-dimethylimidazolium acetate",137.9758328,-0.011401498,1.655205141,"1,3-dimethylimidazolium",acetate,CN1C=C[N+](=C1)C|CC(=O)[O-],0.286
"1,3-dimethylimidazolium bis((trifluoromethyl)sulfonyl)amide",171.5828901,4.076475632,4.395243011,"1,3-dimethylimidazolium",bis((trifluoromethyl)sulfonyl)amide,CN1C=C[N+](=C1)C|C(F)(F)(F)S(=O)(=O)[N-]S(=O)(=O)C(F)(F)F,0.9
"1,3-dimethylimidazolium bis(trifluoromethylsulfonyl)imide",152.5998913,4.615927995,5.791968354,"1,3-dimethylimidazolium",bis(trifluoromethylsulfonyl)imide,CN1C=C[N+](=C1)C|C(F)(F)(F)S(=O)(=O)[N-]S(=O)(=O)C(F)(F)F,0.9
"1,3-dimethylimidazolium methylsulfate",190.1376827,3.668480173,4.091692829,"1,3-dimethylimidazolium",methylsulfate,CN1C=C[N+](=C1)C|COS(=O)(=O)[O-],0.392
1-(2-ethoxyethyl)-1-methylpyrrolidinium bis(trifluoromethylsulfonyl)imide,193.819629,1.247410476,2.015933588,1-(2-ethoxyethyl)-1-methylpyrrolidinium,bis(trifluoromethylsulfonyl)imide,CCOCC[N+]1(CCCC1)C|C(F)(F)(F)S(=O)(=O)[N-]S(=O)(=O)C(F)(F)F,0.341
1-(2-ethoxyethyl)-3-ethylimidazolium perrhenate,227.6523217,1.123166437,1.835255417,1-(2-ethoxyethyl)-3-ethylimidazolium,perrhenate,CCCCC[N+]1=CN(C=C1)CC|[O-][Re](=O)(=O)=O,0.134
1-(2-ethoxyethyl)-3-methylimidazolium bis(trifluoromethylsulfonyl)imide,203.017213,1.283694762,1.729323141,1-(2-ethoxyethyl)-3-methylimidazolium,bis(trifluoromethylsulfonyl)imide,CCOCCN1C=C[N+](=C1)C|C(F)(F)(F)S(=O)(=O)[N-]S(=O)(=O)C(F)(F)F,0.402
1-(2-ethoxyethyl)pyridinium bis(trifluoromethylsulfonyl)imide,208.7694816,1.204173647,1.713420977,1-(2-ethoxyethyl)pyridinium,bis(trifluoromethylsulfonyl)imide,CCOCC[N+]1=CC=CC=C1|C(F)(F)(F)S(=O)(=O)[N-]S(=O)(=O)C(F)(F)F,0.334
1-(2-hydroxyethyl)-1-methylpyrrolidin-1-ium bis(trifluoromethylsulfonyl)imide,144.5843686,4.702533661,7.776168219,1-(2-hydroxyethyl)-1-methylpyrrolidin-1-ium,bis(trifluoromethylsulfonyl)imide,C[N+]1(CCCC1)CCO|C(F)(F)(F)S(=O)(=O)[N-]S(=O)(=O)C(F)(F)F,0.23
1-(2-hydroxyethyl)-3-methylimidazolium bis(trifluoromethylsulfonyl)imide,156.8845371,4.103457469,5.933271189,1-(2-hydroxyethyl)-3-methylimidazolium,bis(trifluoromethylsulfonyl)imide,C[N+]1=CN(C=C1)CCO|C(F)(F)(F)S(=O)(=O)[N-]S(=O)(=O)C(F)(F)F,0.481
1-(2-hydroxyethyl)-3-methylimidazolium bis[(trifluoromethyl)sulfonyl]imide,193.2604878,3.933604245,4.444822062,1-(2-hydroxyethyl)-3-methylimidazolium,bis[(trifluoromethyl)sulfonyl]imide,C[N+]1=CN(C=C1)CCO|C(F)(F)(F)S(=O)(=O)[N-]S(=O)(=O)C(F)(F)F,0.305
1-(2-hydroxyethyl)-3-methylimidazolium nonafluoro-1-butanesulfonate,125.9358304,7.807129715,15.87340436,1-(2-hydroxyethyl)-3-methylimidazolium,nonafluoro-1-butanesulfonate,C[N+]1=CN(C=C1)CCO|C(C(C(F)(F)S(=O)(=O)[O-])(F)F)(C(F)(F)F)(F)F,0.0385
1-(2-hydroxyethyl)-3-methylimidazolium perfluoropentanoate,158.2332173,6.743188594,11.85492538,1-(2-hydroxyethyl)-3-methylimidazolium,perfluoropentanoate,C[N+]1=CN(C=C1)CCO|C(=O)(C(C(C(C(F)(F)F)(F)F)(F)F)(F)F)[O-],0.0315
1-(2-hydroxyethyl)-pyridinium bis(trifluoromethylsulfonyl)imide,189.7697871,4.124759109,5.027521134,1-(2-hydroxyethyl)-pyridinium,bis(trifluoromethylsulfonyl)imide,C1=CC=[N+](C=C1)CCO|C(F)(F)(F)S(=O)(=O)[N-]S(=O)(=O)C(F)(F)F,0.233
1-(2-methoxyethyl)-1-methylpiperidinium bis(trifluoromethylsulfonyl)imide,172.3448,1.700680477,3.44025092,1-(2-methoxyethyl)-1-methylpiperidinium,bis(trifluoromethylsulfonyl)imide,C[N+]1(CCCCC1)CCOC|C(F)(F)(F)S(=O)(=O)[N-]S(=O)(=O)C(F)(F)F,0.209
1-(2-methoxyethyl)-1-methylpyrrolidinium bis((trifluoromethyl)sulfonyl)amide,250.6842553,0.216694075,0.500063247,1-(2-methoxyethyl)-1-methylpyrrolidinium,bis((trifluoromethyl)sulfonyl)amide,C[N+]1(CCCC1)CCOC|C(F)(F)(F)S(=O)(=O)[N-]S(=O)(=O)C(F)(F)F,0.345
1-(2-methoxyethyl)-1-methylpyrrolidinium bis(trifluoromethylsulfonyl)imide,195.1715675,1.16911856,1.843158234,1-(2-methoxyethyl)-1-methylpyrrolidinium,bis(trifluoromethylsulfonyl)imide,C[N+]1(CCCC1)CCOC|C(F)(F)(F)S(=O)(=O)[N-]S(=O)(=O)C(F)(F)F,0.388
