Name,SMILES,Melting_Point_Average(K)
trimethyl-propargyl ammonium bis((trifluoromethyl)sulfonyl)imide,C#CC[N+](C)(C)C.O=S(=O)([N-]S(=O)(=O)C(F)(F)F)C(F)(F)F,318.15
"1,3-dipropargylimidazolium tetrafluoroborate",C#CCn1cc[n+](CC#C)c1.F[B-](F)(F)F,340.15
"N-Cyclohexyl-3,4-dihydroisoquinolinium tetrafluoroborate",C1=[N+](C2CCCCC2)CCc2ccccc21.F[B-](F)(F)F,341.25
"N-Cyclohexyl-3,4-dihydroisoquinolinium bromide",C1=[N+](C2CCCCC2)CCc2ccccc21.[Br-],436.05
Decahydroisoquinoline acetate,C1CCC2CNCCC2C1.CC(=O)O,351
Decahydroisoquinoline methylsulfate,C1CCC2CNCCC2C1.COS(=O)(=O)O,328
Decahydroisoquinoline trifluoroacetate,C1CCC2CNCCC2C1.O=C(O)C(F)(F)F,340
Decahydroisoquinoline trifluoromethanesulfonate,C1CCC2CNCCC2C1.O=S(=O)(O)C(F)(F)F,331
Decahydroisoquinoline nitrate,C1CCC2CNCCC2C1.O=[N+]([O-])O,338
pyrrolidinium acetate,C1CC[NH2+]C1.CC(=O)[O-],291.95
pyrrolidinium octanoate,C1CC[NH2+]C1.CCCCCCCC(=O)[O-],233.15
pyrrolidinium dibutylphosphate,C1CC[NH2+]C1.CCCCOP(=O)([O-])OCCCC,269.45
pyrrolidinium Mesylate,C1CC[NH2+]C1.CS(=O)(=O)[O-],395.25
Pyrrolidinium heptafluorobutyrate,C1CC[NH2+]C1.O=C([O-])C(F)(F)C(F)(F)C(F)(F)F,277.15
pyrrolidinium trifluoroacetate,C1CC[NH2+]C1.O=C([O-])C(F)(F)F,263.15
pyrrolidinium formate,C1CC[NH2+]C1.O=C[O-],276.8833333
pyrrolidinium hydrogen sulfate,C1CC[NH2+]C1.O=S(=O)([O-])O,243.15
pyrrolidinium nitrate,C1CC[NH2+]C1.O=[N+]([O-])[O-],258.15
piperidinium hydrogen phosphonate,C1CC[NH2+]CC1.O=[PH]([O-])O,356.1
1-(3-butenyl)-3-methyl-imidazolium azide,C=CCCn1cc[n+](C)c1.[N-]=[N+]=[N-],318.15
trimethyl-allylammonium bis((trifluoromethyl)sulfonyl)imide,C=CC[N+](C)(C)C.O=S(=O)([N-]S(=O)(=O)C(F)(F)F)C(F)(F)F,314.15
