Name,Structure Graph ID,ID,Ea (J/mol),A,RT_conductivity (S/m),SMILES,Cation Name,Anion Name,Cation SMILES,Anion SMILES,reference,source
3-hexyl-1-methylimidazolium tricyanomethanide,AAxZyO,SKbPa,74066.26917,876496000000.0,0.092507934,CCCCCCN1C=C[N+](=C1)C.C(=C(C#N)C#N)=[N-],3-hexyl-1-methylimidazolium,tricyanomethanide,CCCCCCN1C=C[N+](=C1)C,C(=C(C#N)C#N)=[N-],"Musial, M.; Cheng, S.; Wojnarowska, Z.; Paluch, M. (2020) J. Mol. Liq. 317, 113971.",commercial source
1-ethyl-3-methylimidazolium tetrafluoroborate,AAmDom,SzShh,68282.24832,74116885561.0,0.080671323,[B-](F)(F)(F)F.CCN1C=C[N+](=C1)C,1-ethyl-3-methylimidazolium,tetrafluoroborate,CCN1C=C[N+](=C1)C,[B-](F)(F)(F)F,"Vila, J.; Fernandez-Castro, B.; Rilo, E.; Carrete, J.; Dominguez-Perez, M.; Rodriguez, J. R.; Garcia, M.; Varela, L. M.; Cabeza, O. (2012) Fluid Phase Equilib. 320, 1-10.",commercial source
1-butyl-3-methylimidazolium bis(trifluoromethylsulfonyl)imide,ABchwx,lcLyt,26683.15991,8905.878998,0.18824754,CCCCN1C=C[N+](=C1)C.C(F)(F)(F)S(=O)(=O)[N-]S(=O)(=O)C(F)(F)F,1-butyl-3-methylimidazolium,bis(trifluoromethylsulfonyl)imide,CCCCN1C=C[N+](=C1)C,C(F)(F)(F)S(=O)(=O)NS(=O)(=O)C(F)(F)F,"Kanakubo, M.; Harris, K. R.; Tsuchihashi, N.; Ibuki, K.; Ueno, M. (2015) J. Chem. Eng. Data 60(5), 1495-1503.",synthesized by the authors
1-hexyl-3-methylimidazolium bis[(trifluoromethyl)sulfonyl]imide,ABiCtA,UCWxh,32426.83934,75112.75163,0.156480815,CCCCCCn1cc[n+](C)c1.O=S(=O)([N-]S(=O)(=O)C(F)(F)F)C(F)(F)F,1-hexyl-3-methylimidazolium,bis[(trifluoromethyl)sulfonyl]imide,CCCCCCN1C=C[N+](=C1)C,C(F)(F)(F)S(=O)(=O)NS(=O)(=O)C(F)(F)F,"Harris, K. R.; Kanakubo, M. (2022) J. Mol. Liq. 358, 119109.",synthesized by the authors
triethyl(pentyl)phosphonium bis((trifluoromethyl)sulfonyl)amide,ABmOjS,CEPCt,37297.73885,236054.3621,0.068923496,CCCCC[P+](CC)(CC)CC.O=S(=O)([N-]S(=O)(=O)C(F)(F)F)C(F)(F)F,triethyl(pentyl)phosphonium,bis((trifluoromethyl)sulfonyl)amide,CCCCC[P+](CC)(CC)CC,O=S(=O)([N-]S(=O)(=O)C(F)(F)F)C(F)(F)F,"Harris, Kenneth R.; Kanakubo, Mitsuhiro; Kodama, Daisuke; Makino, Takashi; Mizuguchi, Yohei; Watanabe, Masaki; Watanabe, Tsutomu (2018) J. Chem. Eng. Data 63(6), 2015-2027.",synthesized by the authors
triethyloctylphosphonium bis(trifluoromethylsulfonyl)imide,ABuTny,JgVkC,40770.66489,534333.9054,0.038432959,CCCCCCCC[P+](CC)(CC)CC.O=S(=O)([N-]S(=O)(=O)C(F)(F)F)C(F)(F)F,triethyloctylphosphonium,bis(trifluoromethylsulfonyl)imide,CCCCCCCC[P+](CC)(CC)CC,C(F)(F)(F)S(=O)(=O)NS(=O)(=O)C(F)(F)F,"Harris, Kenneth R.; Kanakubo, Mitsuhiro; Kodama, Daisuke; Makino, Takashi; Mizuguchi, Yohei; Suzuki, Yuki; Watanabe, Tsutomu (2023) J. Chem. Eng. Data 68(3), 549-560.",commercial source
1-butyl-3-methylimidazolium tetrafluoroborate,AArYBF,IPPmc,30356.27527,59110.83249,0.283910738,[B-](F)(F)(F)F.CCCCN1C=C[N+](=C1)C,1-butyl-3-methylimidazolium,tetrafluoroborate,CCCCN1C=C[N+](=C1)C,[B-](F)(F)(F)F,"Harris, K. R.; Kanakubo, M.; Tsuchihashi, N.; Ibuki, K.; Ueno, M. (2008) J. Phys. Chem. B 112, 9830-9840.",commercial source
1-hexyl-3-methylimidazolium hexafluorophosphate,ABICIG,RbwnR,40446.69628,551391.8965,0.045197194,CCCCCCN1C=C[N+](=C1)C.F[P-](F)(F)(F)(F)F,1-hexyl-3-methylimidazolium,hexafluorophosphate,CCCCCCN1C=C[N+](=C1)C,F[P-](F)(F)(F)(F)F,"Harris, K. R.; Kanakubo, M.; Tsuchihashi, N.; Ibuki, K.; Ueno, M. (2008) J. Phys. Chem. B 112, 9830-9840.",commercial source
1-ethyl-3-methylimidazolium 4-methylbenzenesulfonate,ABCPbo,fKJbw,74983.55046,949384776.1,6.92e-05,CCN1C=C[N+](=C1)C.CC1=CC=C(C=C1)S(=O)(=O)[O-],1-ethyl-3-methylimidazolium,4-methylbenzenesulfonate,CCN1C=C[N+](=C1)C,CC1=CC=C(C=C1)S(=O)(=O)[O-],"Vila, J.; Fernandez-Castro, B.; Rilo, E.; Carrete, J.; Dominguez-Perez, M.; Rodriguez, J. R.; Garcia, M.; Varela, L. M.; Cabeza, O. (2012) Fluid Phase Equilib. 320, 1-10.",commercial source
1-butyl-1-methylpyrrolidinium bis[(trifluoromethyl)sulfonyl]imide,ABdMNo,Zabkl,26398.2926,12232.64926,0.290056374,CCCC[N+]1(C)CCCC1.O=S(=O)([N-]S(=O)(=O)C(F)(F)F)C(F)(F)F,1-butyl-1-methylpyrrolidinium,bis[(trifluoromethyl)sulfonyl]imide,CCCC[N+]1(CCCC1)C,O=S(=O)([N-]S(=O)(=O)C(F)(F)F)C(F)(F)F,"Vranes, M.; Dozic, S.; Gadzuric, S. (2012) J. Chem. Eng. Data 57(4), 1072-1077.",commercial source
1-butyl-3-methylimidazolium bis(trifluoromethylsulfonyl)imide,ABchwx,MgKtv,25400.98588,11718.14781,0.415480994,CCCCN1C=C[N+](=C1)C.C(F)(F)(F)S(=O)(=O)[N-]S(=O)(=O)C(F)(F)F,1-butyl-3-methylimidazolium,bis(trifluoromethylsulfonyl)imide,CCCCN1C=C[N+](=C1)C,C(F)(F)(F)S(=O)(=O)NS(=O)(=O)C(F)(F)F,"Vranes, M.; Dozic, S.; Gadzuric, S. (2012) J. Chem. Eng. Data 57(4), 1072-1077.",commercial source
1-methyl-3-octylimidazolium tetrafluoroborate,ABCNhW,OQFiO,40206.36318,583417.7709,0.052691145,[B-](F)(F)(F)F.CCCCCCCCN1C=C[N+](=C1)C,1-methyl-3-octylimidazolium,tetrafluoroborate,CCCCCCCCN1C=C[N+](=C1)C,[B-](F)(F)(F)F,"Kanakubo, M.; Harris, K. R.; Tsuchihashi, N.; Ibuki, K.; Ueno, M. (2007) Fluid Phase Equilib. 261(1-2), 414-420.",synthesized by the authors
1-octyl-3-methylimidazolium hexafluorophosphate,ABNWoR,gYJLE,47137.8037,4206012.908,0.023185965,CCCCCCCCN1C=C[N+](=C1)C.F[P-](F)(F)(F)(F)F,1-octyl-3-methylimidazolium,hexafluorophosphate,CCCCCCCCN1C=C[N+](=C1)C,F[P-](F)(F)(F)(F)F,"Kanakubo, M.; Harris, K. R.; Tsuchihashi, N.; Ibuki, K.; Ueno, M. (2007) Fluid Phase Equilib. 261(1-2), 414-420.",synthesized by the authors
1-butyl-3-methylimidazolium hexafluorophosphate,ABChJv,CexnY,34240.59257,95129.33165,0.095342903,CCCCN1C=C[N+](=C1)C.F[P-](F)(F)(F)(F)F,1-butyl-3-methylimidazolium,hexafluorophosphate,CCCCN1C=C[N+](=C1)C,F[P-](F)(F)(F)(F)F,"Kanakubo, M.; Harris, K. R.; Tsuchihashi, N.; Ibuki, K.; Ueno, M. (2007) J. Phys. Chem. B 111(8), 2062-2069.",synthesized by the authors
1-butyl-3-methylimidazolium bis(trifluoromethylsulfonyl)imide,ABchwx,yXNix,26312.83891,14762.52483,0.362321581,CCCCN1C=C[N+](=C1)C.C(F)(F)(F)S(=O)(=O)[N-]S(=O)(=O)C(F)(F)F,1-butyl-3-methylimidazolium,bis(trifluoromethylsulfonyl)imide,CCCCN1C=C[N+](=C1)C,C(F)(F)(F)S(=O)(=O)NS(=O)(=O)C(F)(F)F,"Kanakubo, M.; Harris, K. R.; Tsuchihashi, N.; Ibuki, K.; Ueno, M. (2015) J. Chem. Eng. Data 60(5), 1495-1503.",synthesized by the authors
1-ethyl-3-methylimidazolium bromide,AAkmTS,hVyJQ,23745.28637,5982.162228,0.413649516,CCN1C=C[N+](=C1)C.[Br-],1-ethyl-3-methylimidazolium,bromide,CCN1C=C[N+](=C1)C,[Br-],"Vila, J.; Fernandez-Castro, B.; Rilo, E.; Carrete, J.; Dominguez-Perez, M.; Rodriguez, J. R.; Garcia, M.; Varela, L. M.; Cabeza, O. (2012) Fluid Phase Equilib. 320, 1-10.",commercial source
1-hexadecyl-3-methylimidazolium tetrafluoroborate,ABXrSr,jrFLc,50067.2986,1753639.619,0.002965112,[B-](F)(F)(F)F.CCCCCCCCCCCCCCCCN1C=C[N+](=C1)C,1-hexadecyl-3-methylimidazolium,tetrafluoroborate,CCCCCCCCCCCCCCCCN1C=C[N+](=C1)C,[B-](F)(F)(F)F,"Vila, J.; Fernandez-Castro, B.; Rilo, E.; Carrete, J.; Dominguez-Perez, M.; Rodriguez, J. R.; Garcia, M.; Varela, L. M.; Cabeza, O. (2012) Fluid Phase Equilib. 320, 1-10.",commercial source
1-ethyl-3-methylimidazolium 4-methylbenzenesulfonate,ABCPbo,OTljE,48938.29398,7101914.15,0.018935649,CCN1C=C[N+](=C1)C.CC1=CC=C(C=C1)S(=O)(=O)[O-],1-ethyl-3-methylimidazolium,4-methylbenzenesulfonate,CCN1C=C[N+](=C1)C,CC1=CC=C(C=C1)S(=O)(=O)[O-],"Vila, J.; Fernandez-Castro, B.; Rilo, E.; Carrete, J.; Dominguez-Perez, M.; Rodriguez, J. R.; Garcia, M.; Varela, L. M.; Cabeza, O. (2012) Fluid Phase Equilib. 320, 1-10.",commercial source
triethyl(pentyl)phosphonium bis((trifluoromethyl)sulfonyl)amide,ABmOjS,bhgga,31648.60621,53786.92676,0.153381255,CCCCC[P+](CC)(CC)CC.O=S(=O)([N-]S(=O)(=O)C(F)(F)F)C(F)(F)F,triethyl(pentyl)phosphonium,bis((trifluoromethyl)sulfonyl)amide,CCCCC[P+](CC)(CC)CC,O=S(=O)([N-]S(=O)(=O)C(F)(F)F)C(F)(F)F,"Harris, Kenneth R.; Kanakubo, Mitsuhiro; Kodama, Daisuke; Makino, Takashi; Mizuguchi, Yohei; Watanabe, Masaki; Watanabe, Tsutomu (2018) J. Chem. Eng. Data 63(6), 2015-2027.",synthesized by the authors
1-ethyl-3-methylimidazolium ethyl sulfate,AAtWDT,BjzMS,28613.38252,30263.08322,0.293620587,CCN1C=C[N+](=C1)C.CCOS(=O)(=O)[O-],1-ethyl-3-methylimidazolium,ethyl,CCN1C=C[N+](=C1)C,C[CH2],"Vila, J.; Gines, P.; Pico, J. M.; Franjo, C.; Jimenez, E.; Varela, L. M.; Cabeza, O. (2006) Fluid Phase Equilib. 242(2), 141-146.",commercial source
1-ethyl-3-methylimidazolium bromide,AAkmTS,JkKZK,37947.4509,157001.7549,0.035271897,CCN1C=C[N+](=C1)C.[Br-],1-ethyl-3-methylimidazolium,bromide,CCN1C=C[N+](=C1)C,[Br-],"Vila, J.; Fernandez-Castro, B.; Rilo, E.; Carrete, J.; Dominguez-Perez, M.; Rodriguez, J. R.; Garcia, M.; Varela, L. M.; Cabeza, O. (2012) Fluid Phase Equilib. 320, 1-10.",commercial source
triethylhexylammonium bis((trifluoromethyl)sulfonyl)imide,ABlkEe,fPoPh,31147.30505,31077.12666,0.108483944,CCCCCC[N+](CC)(CC)CC.O=S(=O)([N-]S(=O)(=O)C(F)(F)F)C(F)(F)F,triethylhexylammonium,bis((trifluoromethyl)sulfonyl)imide,CCCCCC[N+](CC)(CC)CC,CCCCN1C=C[N+](=C1C)C.C(F)(F)(F)S(=O)(=O)[N-]S(=O)(=O)C(F)(F)F,"Machanova, K.; Boisset, A.; Sedlakova, Z.; Anouti, M.; Bendova, M.; Jacquemin, J. (2012) J. Chem. Eng. Data 57(8), 2227-2235.",commercial source
1-methyl-2-oxopyrrolidin-1-ium sulfurochloridate,AApYuh,rXWXA,13343.24229,14.05960783,0.064596386,C[NH+]1CCCC1=O.O=S(=O)([O-])Cl,1-methyl-2-oxopyrrolidin-1-ium,sulfurochloridate,C[NH+]1CCCC1=O,[O-]S(=O)(=O)Cl,"Rad-Moghadam, K.; Hassani, S. A. R. M.; Roudsari, S. T. (2016) J. Mol. Liq. 218, 275-280.",synthesized by the authors
1-decyl-3-methylimidazolium tetrafluoroborate,ABHhVu,AuTnb,43548.23971,1312970.329,0.030797033,[B-](F)(F)(F)F.CCCCCCCCCCN1C=C[N+](=C1)C,1-decyl-3-methylimidazolium,tetrafluoroborate,CCCCCCCCCCN1C=C[N+](=C1)C,[B-](F)(F)(F)F,"Vila, J.; Fernandez-Castro, B.; Rilo, E.; Carrete, J.; Dominguez-Perez, M.; Rodriguez, J. R.; Garcia, M.; Varela, L. M.; Cabeza, O. (2012) Fluid Phase Equilib. 320, 1-10.",commercial source
1-ethyl-3-methylimidazolium iodide,AAtodn,zmLLP,35717.7291,23370.57542,0.012907609,CCN1C=C[N+](=C1)C.[I-],1-ethyl-3-methylimidazolium,iodide,CCN1C=C[N+](=C1)C,[I-],"Vila, J.; Fernandez-Castro, B.; Rilo, E.; Carrete, J.; Dominguez-Perez, M.; Rodriguez, J. R.; Garcia, M.; Varela, L. M.; Cabeza, O. (2012) Fluid Phase Equilib. 320, 1-10.",commercial source
1-methyl-1-propylpyrrolidinium bis[(trifluoromethyl)sulfonyl]imide,ABabds,UmSkO,21244.65244,2394.025851,0.453962164,CCC[N+]1(C)CCCC1.O=S(=O)([N-]S(=O)(=O)C(F)(F)F)C(F)(F)F,1-methyl-1-propylpyrrolidinium,bis[(trifluoromethyl)sulfonyl]imide,CCC[N+]1(CCCC1)C,O=S(=O)([N-]S(=O)(=O)C(F)(F)F)C(F)(F)F,"Fleshman, A. M.; Mauro, N. A. (2019) J. Mol. Liq. 279, 23-31.",commercial source
1-butyl-1-methylpyrrolidinium bis[(trifluoromethyl)sulfonyl]imide,ABdMNo,GNSvY,26120.67018,8198.110635,0.217428122,CCCC[N+]1(C)CCCC1.O=S(=O)([N-]S(=O)(=O)C(F)(F)F)C(F)(F)F,1-butyl-1-methylpyrrolidinium,bis[(trifluoromethyl)sulfonyl]imide,CCCC[N+]1(CCCC1)C,O=S(=O)([N-]S(=O)(=O)C(F)(F)F)C(F)(F)F,"Fleshman, A. M.; Mauro, N. A. (2019) J. Mol. Liq. 279, 23-31.",commercial source
1-methyl-1-octylpyrrolidinium bis(trifluoromethylsulfonyl)amide,ABoBVW,crOUe,28578.13626,8872.325401,0.087314428,CCCCCCCC[N+]1(C)CCCC1.O=S(=O)([N-]S(=O)(=O)C(F)(F)F)C(F)(F)F,1-methyl-1-octylpyrrolidinium,bis(trifluoromethylsulfonyl)amide,CCCCCCCC[N+]1(C)CCCC1,O=S(=O)([N-]S(=O)(=O)C(F)(F)F)C(F)(F)F,"Fleshman, A. M.; Mauro, N. A. (2019) J. Mol. Liq. 279, 23-31.",commercial source
1-ethyl-3-methylimidazolium hexafluorophosphate,AAxNbY,Szxdd,22442.17904,4799.442068,0.561399884,CCN1C=C[N+](=C1)C.F[P-](F)(F)(F)(F)F,1-ethyl-3-methylimidazolium,hexafluorophosphate,CCN1C=C[N+](=C1)C,F[P-](F)(F)(F)(F)F,"Vila, J.; Fernandez-Castro, B.; Rilo, E.; Carrete, J.; Dominguez-Perez, M.; Rodriguez, J. R.; Garcia, M.; Varela, L. M.; Cabeza, O. (2012) Fluid Phase Equilib. 320, 1-10.",commercial source
